same_source_D,different_source_D,delta,n_sources
0.6501128076747794,0.9218779958907145,0.2717651882159351,3
0.42829367297834176,0.844456521096315,0.4161628481179732,3
0.3514790685017995,1.0365354210777813,0.6850563525759819,3
0.7106427596038487,0.9919351415320341,0.2812923819281854,3
0.8950368907256954,0.9107333834925353,0.01569649276683993,3
0.9574995599724392,1.0716954091755884,0.11419584920314918,3
0.9338982854736079,0.9385785673086146,0.004680281835006683,3
0.9671885136735804,1.0500771456880533,0.08288863201447294,3
0.9964194859281388,0.8853521028886607,-0.11106738303947805,3
0.8390273910616665,0.9360937645727088,0.0970663735110423,3
0.8014396180145548,1.035278939871354,0.23383932185679923,3
1.0259330083682268,0.9326875814109874,-0.09324542695723936,3
0.695588797337416,1.0673423652890413,0.3717535679516253,3
0.7519386112154572,0.8974853644516403,0.14554675323618305,3
0.6590339702537962,1.105189494418712,0.4461555241649158,3
0.48827457620361114,1.071823453840899,0.5835488776372879,3
0.7741535903186354,1.0076303821308867,0.23347679181225134,3
0.6268653574134425,1.090836030442284,0.46397067302884143,3
0.5955645202099084,0.924027481281553,0.32846296107164463,3
0.8863877570463118,0.9867294168166494,0.1003416597703376,3
0.7957415098393747,1.096120096392732,0.30037858655335725,3
0.6056642566358555,1.0337795947614816,0.4281153381256261,3
0.436323054742915,0.8094548724343902,0.3731318176914752,3
0.9772812374561226,1.0311903199845385,0.053909082528415864,3
1.0346881114084412,0.9391022334917626,-0.09558587791667861,3
0.9025914487709336,1.0991752095098484,0.19658376073891481,3
0.9536880793488727,1.0240849906640181,0.07039691131514547,3
0.893157112549207,1.1122840193670147,0.21912690681780767,3
0.7044249509279181,1.0087623041109812,0.3043373531830631,3
0.29638959890680777,0.8764661554757249,0.5800765565689172,3
0.5646725755688445,1.1409014982990802,0.5762289227302356,4
0.9619634040810311,0.9187254119161608,-0.04323799216487034,3
0.9108027312172433,0.9257312147143724,0.014928483497129053,3
0.8304350314533124,1.0849505635304548,0.2545155320771424,3
0.9876126011012785,0.9487253039112623,-0.03888729719001616,3
0.3376822353030544,1.1876275983499156,0.8499453630468612,3
0.627915625256995,1.1087321223205786,0.48081649706358365,3
0.627048543417277,0.9997022005138015,0.37265365709652454,3
1.0342462087410693,1.0065449426556807,-0.027701266085388587,3
0.9932991270239909,1.0107220869441051,0.017422959920114223,3
0.5709048824608365,1.1992857448924428,0.6283808624316063,3
0.780690051864546,1.052344268631088,0.271654216766542,3
1.0066011496665175,1.0285987007654376,0.0219975510989201,3
0.7305977101300187,1.0420655436507305,0.3114678335207117,3
0.9367258996493397,1.0325839009038646,0.09585800125452493,3
0.8675877259426219,1.092849411775351,0.2252616858327292,3
0.8064265413098234,1.0160080783264056,0.20958153701658222,3
0.8315996549242342,0.9893895854155872,0.15778993049135304,3
1.0230848218378825,1.0077120008164553,-0.01537282102142723,3
0.9240270592388249,0.9675782489874999,0.043551189748675,3
0.6282629225692901,1.095393140119867,0.46713021755057704,3
0.6744712664522732,0.9744269854455775,0.2999557189933043,3
0.8883365569678097,1.0464818777962774,0.15814532082846777,3
0.9373213843483403,1.100387938570961,0.16306655422262062,3
0.6929921337088196,1.06501528074149,0.3720231470326705,3
0.48184503026536896,0.5010036569429109,0.01915862667754198,3
0.8774232278722981,1.0421825312162265,0.1647593033439284,3
0.5784710310118536,1.0370514629309326,0.45858043191907905,3
0.6592724767457874,0.7364477845966158,0.07717530785082838,3
0.949399711840568,0.9003844043000616,-0.049015307540506425,3
0.709165415098579,1.108526037427555,0.39936062232897596,3
0.6486167359075969,1.0055714848874717,0.3569547489798748,3
0.39691684338950645,0.983136228171178,0.5862193847816715,3
0.8140720855925903,1.0059071371030621,0.19183505151047187,3
0.6471375044279009,1.0832246649479316,0.4360871605200307,3
0.9427737567388643,1.081358391092032,0.1385846343531676,3
0.9269966949481776,1.0191641427920808,0.09216744784390318,3
0.661167828927153,1.0562076213464409,0.3950397924192879,3
0.5630552685570867,0.7556357282077325,0.19258045965064585,3
0.08481201542943946,0.3680457658384829,0.28323375040904347,3
0.8940230474274505,0.8680316773660023,-0.02599137006144825,3
0.45006164914883157,0.838277406059556,0.38821575691072446,3
1.1195356386977884,0.9579610082803178,-0.16157463041747055,3
0.9048733274921024,1.0256138583857963,0.12074053089369396,3
0.7247589105892535,0.7660343927091204,0.04127548211986698,3
0.5859582443011778,1.1610532655715786,0.5750950212704008,3
0.4222233307147501,0.4686129598320998,0.04638962911734967,3
0.9298912452122299,0.9307319171465565,0.0008406719343265756,3
