compound,n_sources,raw_instability,ablated_instability
JCP2022_047188,5,0.9494829689664992,0.9534378286956217
JCP2022_047195,5,0.869475558286451,0.8799486000516346
JCP2022_047197,5,0.8578903865072822,0.8507148136683403
JCP2022_047199,5,0.9421626570588467,0.9441570540444331
JCP2022_047200,5,0.9962861514026735,0.9902618130594882
JCP2022_047203,5,0.9918125477800896,0.9986882174098658
JCP2022_047207,5,0.9798987943221661,0.973245133321654
JCP2022_047212,5,1.080024965833095,1.0801765257748892
JCP2022_047213,5,0.7402690804326678,0.7355385031017316
JCP2022_047219,5,1.0058820211209267,1.0081032188847732
JCP2022_047232,5,1.057004377206982,1.062813655969824
JCP2022_047234,5,0.9274265661040864,0.9253260082453985
JCP2022_047240,5,1.0825290993463643,1.0860444985681934
JCP2022_047241,5,0.9775399115718946,0.9848157224260112
JCP2022_047242,5,0.993912540648938,0.9955438007618254
JCP2022_047248,5,0.7199984365726196,0.7080580966275148
JCP2022_047249,5,0.9996274398079342,1.0062401839248878
JCP2022_047256,5,1.0454885449564009,1.0542267716649454
JCP2022_047257,5,1.0332693040028018,1.0340669891263343
JCP2022_047264,5,0.9798703111334396,0.9825190521841847
JCP2022_047267,5,0.8155125049622333,0.8203980097160144
JCP2022_047274,5,0.9026722442913161,0.9093004622726405
JCP2022_047278,5,0.9868984197046642,0.9908253756666748
JCP2022_047280,5,0.9957955760887798,1.0022768024868483
JCP2022_047282,5,1.0055944601365274,1.0071534646083316
JCP2022_047284,5,1.0569866302748585,1.0628439932214162
JCP2022_047289,5,0.9080667244208364,0.9050576162436416
JCP2022_047291,5,1.0026447043994826,1.007580768949323
JCP2022_047298,5,0.9537011003359849,0.9595868725930576
JCP2022_047306,5,0.7038273925437796,0.7052233876864837
JCP2022_047307,5,0.9194811776624716,0.918168763250783
JCP2022_047309,5,0.6657540622848843,0.6579896131928671
JCP2022_047310,5,0.7012264655560526,0.7089387500909817
JCP2022_047311,5,1.0121735101633562,1.019217312972678
JCP2022_047318,5,0.6905052678095432,0.6774738209911915
JCP2022_047326,5,1.0033983543776384,1.0058888777565103
JCP2022_047328,5,1.0574131605049668,1.069596137707298
JCP2022_047329,5,0.9794911281868293,0.9815730203685102
JCP2022_047336,5,0.8510708834496737,0.8459733689147774
JCP2022_047337,5,0.7057155382616329,0.6990226140183214
JCP2022_047339,5,1.0554120510014913,1.0607703874382388
JCP2022_047350,5,0.57745533736957,0.5729361426198218
JCP2022_047351,5,0.9725753071258214,0.9692588474748016
JCP2022_047352,5,0.9263338474306068,0.9335398452331731
JCP2022_047360,5,0.974628336189527,0.9696171278871533
JCP2022_047364,5,0.962920094774466,0.9651251559536032
JCP2022_047369,5,0.913701883964706,0.9093456860671858
JCP2022_047379,6,0.9573971181132367,0.9486145077855036
JCP2022_047382,5,0.8873723290536286,0.8828121271395166
JCP2022_047383,5,1.0352616794564837,1.05131305285077
JCP2022_047390,5,0.7714006832481302,0.7581071025370228
JCP2022_047391,5,0.6992900520604771,0.6925153622265432
JCP2022_047396,5,0.7368927198466937,0.7353587984382184
JCP2022_047397,5,0.9253979858556662,0.9306212601109586
JCP2022_047403,5,0.8485739663088472,0.8472139942692175
JCP2022_047405,5,0.8284691930562424,0.8448678499362713
JCP2022_047407,5,1.0009943165241058,0.9994622389840574
JCP2022_047410,5,0.8837319327756078,0.8732629615282141
JCP2022_047413,5,0.8343670607360949,0.8245332961699348
